Accession,UniP entry,Gene,Peptide count,Unique peptides,Confidence score,Anova (p),q Value,Max fold change,Power,Fold change ( CL/LB),log2FC (Cl/LB),Highest mean condition,Lowest mean condition,Mass,Description,Treatment,CL1,CL2,CL3,CL4,CL5,LB1,LB2,LB3,LB4
tr|Q9HTL5|Q9HTL5_PSEAE,Q9HTL5,PA5343,4,4,544,0.000348313,0.000277171,1.859216514,0.999771754,0.537860971,-0.9,LB,CL,30988,Uncharacterized protein OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=PA5343 PE=4 SV=1,Q9HTL5,1114070.44,809294.2559,1086667.705,866206.4501,892509.3064,1757439.367,2094912.197,1768439.231,1472117.466
sp|Q9HY05|SURE_PSEAE,Q9HY05,surE,5,5,359.2,0.000349748,0.000277647,1.772759736,0.999768686,0.564092234,-0.8,LB,CL,26466,5'-nucleotidase SurE OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=surE PE=3 SV=1,Q9HY05,1219802.925,1239488.016,1472323.598,970460.9408,1251443.677,2358331.542,2174130.109,2333333.672,1861173.474
sp|P24562|Y394_PSEAE,P24562,PA0394,4,4,164.81,0.000350176,0.000277647,1.58869996,0.999767766,0.629445475,-0.7,LB,CL,24604,UPF0001 protein PA0394 OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=PA0394 PE=3 SV=1,P24562,1229027.521,1045212.608,963323.9644,985525.5096,855030.578,1662157.204,1656483.417,1466538.757,1668908.083
tr|Q9I5E2|Q9I5E2_PSEAE,Q9I5E2,prpB,9,9,940.3,0.000355049,0.000279948,1.514606993,0.999757142,0.660237279,-0.6,LB,CL,32345,2-methylisocitrate lyase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=prpB PE=3 SV=1,Q9I5E2,4705051.295,4695038.338,3916471.713,3790367.351,4763204.318,6796107.314,6645822.839,7077258.527,5980536.45
tr|Q9I503|Q9I503_PSEAE,Q9I503,PA0955,3,3,74.91,5.89426E-05,7.79897E-05,2.99,0.999999907,0.33,-1.6,LB,CL,35892,Uncharacterized protein OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=PA0955 PE=4 SV=1,Q9I503,308021.1061,320146.1425,231199.7645,456857.3202,339517.1295,1106564.907,914727.5047,1022718.98,910655.4353
tr|Q9I2D5|Q9I2D5_PSEAE,Q9I2D5,PA1969,4,4,418.11,0.000359596,0.00028266,1.333036287,0.999746975,0.750167126,-0.4,LB,CL,13498,Uncharacterized protein OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=PA1969 PE=4 SV=1,Q9I2D5,862993.4058,861606.5219,903147.2641,760380.2933,882145.5633,1126426.121,1194588.052,1195123.21,1037805.76
tr|Q9I3E6|Q9I3E6_PSEAE,Q9I3E6,PA1571,1,1,99.97,0.729670497,0.14301564,1.025134079,0.061458272,0.975482155,0.0,LB,CL,6799,Uncharacterized protein OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=PA1571 PE=4 SV=1,Q9I3E6,1002530.884,1163590.347,989161.8624,1113410.783,1389666.938,1075157.841,1101466.702,1137937.172,1325901.086
tr|Q9HYS7|Q9HYS7_PSEAE,Q9HYS7,PA3317,2,2,191.86,0.00076816,0.000495252,3.00,0.99781464,0.33,-1.6,LB,CL,25977,Uncharacterized protein OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=PA3317 PE=4 SV=1,Q9HYS7,55082.99873,29806.96957,29646.49669,34112.65539,24191.9047,108713.8785,104013.5023,132889.174,69474.16211
tr|Q9I6N9|Q9I6N9_PSEAE,Q9I6N9,PA0250,8,8,1343.43,2.59418E-05,5.00202E-05,3.00,0.999999999,0.33,-1.6,LB,CL,15714,Uncharacterized protein OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=PA0250 PE=4 SV=1,Q9I6N9,5435872.344,3297686.188,3968670.246,3099603.401,3425467.574,11384907.38,11510224.73,12213811.97,11080469.46
tr|Q9HVQ2|Q9HVQ2_PSEAE,Q9HVQ2,PA4520,10,7,998.87,3.52717E-05,5.60364E-05,3.01,0.999999996,0.33,-1.6,LB,CL,72320,Probable chemotaxis transducer OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=PA4520 PE=4 SV=1,Q9HVQ2,356584.2732,399407.1332,230004.7636,265638.0457,305851.0007,851061.6114,1006309.136,862681.5804,1032932.221
tr|Q9I5E5|Q9I5E5_PSEAE,Q9I5E5,PA0793,6,5,399.76,0.000377635,0.000294786,1.65144287,0.999704217,0.605531089,-0.7,LB,CL,41911,Uncharacterized protein OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=PA0793 PE=1 SV=1,Q9I5E5,564179.8115,534832.4233,420329.5216,397036.5007,480446.914,817441.394,799190.3674,819013.8409,730930.2688
tr|Q9I0M9|Q9I0M9_PSEAE,Q9I0M9,PA2609,4,4,333.86,0.000379656,0.000295852,1.636807891,0.999699183,0.610945246,-0.7,LB,CL,36830,Uncharacterized protein OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=PA2609 PE=4 SV=1,Q9I0M9,368958.7608,359391.5371,416055.3251,283430.3008,375415.6753,616298.2656,565605.9503,634156.4781,545200.4627
sp|Q9I0J6|NUOG_PSEAE,Q9I0J6,nuoG,26,25,3251.27,0.000380697,0.000296151,1.568255419,0.999696572,0.637651232,-0.6,LB,CL,99907,NADH-quinone oxidoreductase subunit G OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=nuoG PE=3 SV=1,Q9I0J6,25531753.41,19401879.8,21989224.69,23984482.79,22172113.11,36137520.29,36191717.49,39197980.44,30342754.77
tr|G3XCT6|G3XCT6_PSEAE,G3XCT6,PA1458,10,10,1248.69,0.000385289,0.000298693,1.538465521,0.999684896,0.649998317,-0.6,LB,CL,79859,Probable two-component sensor OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=PA1458 PE=4 SV=1,G3XCT6,3592324.834,2867038.911,2961352.209,2558103.354,3351308.275,4559534.101,4747991.55,4890371.544,4670000.981
sp|P22567|ARGA_PSEAE,P22567,argA,2,2,245.38,0.000386944,0.000299168,1.582458686,0.999680625,0.63192803,-0.7,LB,CL,48114,Amino-acid acetyltransferase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=argA PE=1 SV=2,P22567,95235.3967,75122.73417,72346.95375,72378.49657,81015.78952,129690.8247,126409.9258,136570.7429,108777.2185
tr|Q9HV27|Q9HV27_PSEAE,Q9HV27,PA4781,2,2,52.64,0.000955748,0.000586703,3.02,0.996306561,0.33,-1.6,LB,CL,43659,Cyclic di-GMP phosphodiesterase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=PA4781 PE=1 SV=1,Q9HV27,112631.81,54430.56201,111488.9373,44405.7389,73481.08584,220200.7603,241995.6244,264294.1655,231070.7468
sp|Q9HWG0|UVRA_PSEAE,Q9HWG0,uvrA,12,10,845.33,0.000390028,0.000300304,1.401585464,0.999672577,1.401585464,0.5,CL,LB,105165,UvrABC system protein A OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=uvrA PE=3 SV=1,Q9HWG0,2813113.36,3711767.549,3091357.311,3172092.047,3296449.457,2360463.099,2339866.012,2253403.26,2227173.185
sp|P72170|PYRC_PSEAE,P72170,pyrC,7,7,718.21,0.000394079,0.000302906,1.869251806,0.999661832,0.534973403,-0.9,LB,CL,38611,Dihydroorotase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=pyrC PE=3 SV=2,P72170,2334088.665,1692178.974,2025766.04,2007137.827,1743942.796,3770749.757,4391599.072,3561932.807,2935309.653
tr|Q9HVM6|Q9HVM6_PSEAE,Q9HVM6,PA4558,3,3,296.04,0.00327701,0.001551483,3.04,0.962612532,0.33,-1.6,LB,CL,15974,Peptidyl-prolyl cis-trans isomerase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=PA4558 PE=3 SV=1,Q9HVM6,964583.9764,716237.0478,1344437.296,332195.0378,755429.7142,2686004.285,2376327.548,2986199.844,1961918.052
tr|Q9HZ32|Q9HZ32_PSEAE,Q9HZ32,PA3208,8,7,626.66,0.000397499,0.000304497,1.570396974,0.999652605,0.636781665,-0.7,LB,CL,20049,Uncharacterized protein OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=PA3208 PE=4 SV=1,Q9HZ32,5777755.611,4055510.296,4239726.23,4302378.576,4573964.238,7240408.354,7342283.307,7401867.38,6847093.885
sp|Q9I6A8|NTPA_PSEAE,Q9I6A8,PA0387,7,7,505.24,0.00020966,0.000190336,3.06,0.999962094,0.33,-1.6,LB,CL,21343,Non-canonical purine NTP pyrophosphatase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=PA0387 PE=3 SV=1,Q9I6A8,1742126.696,1016929.184,830966.5069,894849.0998,1116046.466,3320500.158,3552683.227,4086605.541,2768247.485
sp|Q9HUG8|MSBA_PSEAE,Q9HUG8,msbA,2,2,286.68,0.00040147,0.000305981,1.397470549,0.999641713,0.715578586,-0.5,LB,CL,66390,Lipid A export ATP-binding/permease protein MsbA OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=msbA PE=3 SV=1,Q9HUG8,409668.9406,363322.5467,357756.73,435563.5344,444117.0787,549280.3306,577161.7313,538905.2963,582264.707
sp|Q9HX37|YBEY_PSEAE,Q9HX37,ybeY,1,1,153.35,0.675156566,0.133960297,1.031635971,0.06696848,0.969334172,0.0,LB,CL,18198,Endoribonuclease YbeY OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=ybeY PE=3 SV=1,Q9HX37,287979.123,316040.653,252778.1632,285570.9096,323552.8804,351267.3517,297811.3907,271177.6807,289581.6461
tr|Q9HW74|Q9HW74_PSEAE,Q9HW74,PA4327,1,1,81.03,0.698595038,0.137883194,1.032538618,0.064440993,0.968486779,0.0,LB,CL,30610,Uncharacterized protein OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=PA4327 PE=4 SV=1,Q9HW74,244138.4494,304996.0203,223325.8872,236617.6431,253151.0537,301472.4875,247953.2351,226551.5981,266662.8731
sp|Q9I5I6|SERDH_PSEAE,Q9I5I6,PA0743,6,6,464.08,5.6354E-05,7.65859E-05,3.07,0.999999928,0.33,-1.6,LB,CL,30849,NAD-dependent L-serine dehydrogenase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=PA0743 PE=1 SV=1,Q9I5I6,977174.0477,576728.4342,935574.6062,569064.5718,785567.0743,2251361.328,2327539.614,2551399.458,2311228.696
tr|Q9I3C4|Q9I3C4_PSEAE,Q9I3C4,PA1597,3,3,203.09,5.37453E-05,7.46137E-05,3.10,0.999999946,0.32,-1.6,LB,CL,25946,Uncharacterized protein OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=PA1597 PE=4 SV=1,Q9I3C4,421703.1653,295217.0607,347273.6689,410063.3314,344705.6423,1283100.564,1248158.169,1208692.031,771677.8585
tr|Q9I1I4|Q9I1I4_PSEAE,Q9I1I4,PA2291,7,7,768.74,2.64328E-05,5.0414E-05,3.11,0.999999999,0.32,-1.6,LB,CL,50671,Porin OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=PA2291 PE=3 SV=1,Q9I1I4,2794752.552,3315502.243,1845975.244,2894516.544,2893989.239,8300992.557,9400420.515,8742728.306,7699358.21
tr|Q9HUR4|Q9HUR4_PSEAE,Q9HUR4,PA4899,5,5,338.1,0.000416431,0.000315253,1.892740969,0.99959895,0.528334313,-0.9,LB,CL,52779,Probable aldehyde dehydrogenase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=PA4899 PE=3 SV=1,Q9HUR4,463941.7044,454264.0004,468993.2694,346451.6812,420408.6336,803643.1434,739732.2072,685972.1391,1032313.523
tr|Q9I1E7|Q9I1E7_PSEAE,Q9I1E7,PA2331,6,6,527.8,4.9481E-06,1.81508E-05,3.11,1,0.32,-1.6,LB,CL,20063,Alkyl hydroperoxide reductase AhpD OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=PA2331 PE=3 SV=1,Q9I1E7,6989716.091,7103504.527,5514212.816,7203480.275,5755184.211,20359718.26,18158476.96,17902974.91,24489785.59
tr|Q9I296|Q9I296_PSEAE,Q9I296,liuA,21,21,2563.55,0.000421848,0.000318285,1.431219249,0.999582792,0.698704968,-0.5,LB,CL,42410,Putative isovaleryl-CoA dehydrogenase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=liuA PE=3 SV=1,Q9I296,44755527.7,46017483.4,35556461.28,38550464.06,37909275.28,60119961.97,56576594.43,58678930.06,56813172.25
tr|Q9HVR5|Q9HVR5_PSEAE,Q9HVR5,PA4506,1,1,200.07,0.578233726,0.1173616,1.037273694,0.080345291,0.96406571,-0.1,LB,CL,36602,Probable ATP-binding component of ABC dipeptide transporter OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=PA4506 PE=3 SV=1,Q9HVR5,254866.4277,290752.8022,213019.2025,283737.6152,258216.3844,246664.1595,262737.1988,289478.3269,280376.5675
sp|Q9HXY5|SKPL_PSEAE,Q9HXY5,PA3647,11,11,832.3,0.000425865,0.00032078,1.456964051,0.999570577,0.686358733,-0.5,LB,CL,19078,Skp-like protein OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=PA3647 PE=3 SV=1,Q9HXY5,11547850.88,11152331.04,9375292.573,12798993.07,11573538.34,17329025.69,16569139.34,16399725.57,15496281.66
tr|Q9HVW1|Q9HVW1_PSEAE,Q9HVW1,PA4456,6,6,178.94,0.000427829,0.000321722,1.728284863,0.999564532,1.728284863,0.8,CL,LB,29660,Probable ATP-binding component of ABC transporter OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=PA4456 PE=4 SV=1,Q9HVW1,947164.6951,1148585.736,807688.3476,1233603.175,1066648.59,605777.0651,586410.6135,587611.5546,628919.6786
sp|Q51425|RUVA_PSEAE,Q51425,ruvA,2,2,227.4,0.000440301,0.000330146,1.578657254,0.999525039,0.633449723,-0.7,LB,CL,22003,Holliday junction ATP-dependent DNA helicase RuvA OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=ruvA PE=3 SV=1,Q51425,383185.9932,287561.465,306815.7121,273314.9575,346319.6754,509080.9949,479365.1281,484383.8082,544312.3871
tr|G3XCZ9|G3XCZ9_PSEAE,G3XCZ9,phaC2,1,1,28.96,0.76843723,0.149188154,1.038424018,0.058284061,0.962997757,-0.1,LB,CL,62870,Poly(3-hydroxyalkanoic acid) synthase 2 OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=phaC2 PE=4 SV=1,G3XCZ9,42951.57809,34096.18768,24760.91921,36593.53101,20282.90454,33895.95535,32029.88372,24375.12914,41524.98412
sp|O68799|MOBA_PSEAE,O68799,mobA,1,1,62.61,0.794432271,0.153442655,1.038711449,0.056473089,0.962731278,-0.1,LB,CL,22085,Molybdenum cofactor guanylyltransferase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=mobA PE=3 SV=1,O68799,31478.2449,28068.82914,33283.18983,35901.29022,34506.96525,39941.20268,36609.05681,33921.34036,25174.57525
sp|Q9HVT9|GATC_PSEAE,Q9HVT9,gatC,4,4,517.15,3.28276E-05,5.38603E-05,3.12,0.999999998,0.32,-1.6,LB,CL,10523,Glutamyl-tRNA(Gln) amidotransferase subunit C OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=gatC PE=1 SV=1,Q9HVT9,3145616.337,2660214.697,2310826.922,1957616.335,1971988.655,8482520.526,7540278.478,8004650.304,6013075.614
sp|Q9HXV4|KAD_PSEAE,Q9HXV4,adk,14,14,1515.92,0.000445365,0.000333243,1.543816254,0.999508455,0.64774548,-0.6,LB,CL,23150,Adenylate kinase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=adk PE=3 SV=1,Q9HXV4,24449257.37,21153762.13,20292619.29,20668352.28,22394521.04,34554526.52,34119055.49,38075577.45,27820378.15
tr|Q9HU64|Q9HU64_PSEAE,Q9HU64,PA5120,1,1,19.32,0.424967062,0.09086261,1.040168163,0.114871026,0.961383011,-0.1,LB,CL,16116,Uncharacterized protein OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=PA5120 PE=4 SV=1,Q9HU64,8099236.092,10072349.17,8264709.838,9340764.543,8566039.209,8830276.781,9211187.256,9752714.887,9105244.806
tr|Q9HU54|Q9HU54_PSEAE,Q9HU54,PA5130,3,3,252.12,0.002945588,0.001436575,3.15,0.968222053,0.32,-1.7,LB,CL,15049,Uncharacterized protein OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=PA5130 PE=4 SV=1,Q9HU54,426992.0239,155563.0716,414788.9997,151051.367,234235.6157,975296.0735,966245.2636,932601.4063,606771.3902
tr|Q9I6E3|Q9I6E3_PSEAE,Q9I6E3,folA,3,3,289.97,0.003983426,0.001811544,3.16,0.950448727,0.32,-1.7,LB,CL,18192,Dihydrofolate reductase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=folA PE=3 SV=1,Q9I6E3,61425.70438,60128.92241,145352.7205,55715.52115,57352.10456,272787.4258,275018.9794,292990.859,120353.01
tr|Q9HVY6|Q9HVY6_PSEAE,Q9HVY6,PA4429,9,9,792.46,0.000457287,0.000339908,1.396477166,0.99946817,0.716087612,-0.5,LB,CL,29203,Probable cytochrome c1 OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=PA4429 PE=4 SV=1,Q9HVY6,24329022.79,23969178.28,26907367.63,24875993.24,23123711.87,35679949.7,36980097.17,35559894.35,29422740.12
sp|Q9HYT6|RAPA_PSEAE,Q9HYT6,rapA,12,12,1172.4,0.000462438,0.000343172,1.2065597,0.999450219,1.2065597,0.3,CL,LB,107034,RNA polymerase-associated protein RapA OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=rapA PE=3 SV=1,Q9HYT6,2499186.822,2672500.744,2288135.291,2478004.141,2422116.058,1994574.73,2057162.278,2032316.371,2111110.475
tr|Q9I0S7|Q9I0S7_PSEAE,Q9I0S7,PA2557,10,10,612.78,0.000465709,0.000345032,1.561893988,0.99943865,0.640248319,-0.6,LB,CL,63103,Probable AMP-binding enzyme OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=PA2557 PE=4 SV=1,Q9I0S7,1544986.67,1391379.147,1524844.424,1596916.002,1164338.126,2219664.443,2452128.199,2039975.63,2312810.67
sp|Q9I5H9|UNG_PSEAE,Q9I5H9,ung,1,1,38.13,0.615326365,0.123556193,1.045575946,0.074621629,0.956410679,-0.1,LB,CL,26108,Uracil-DNA glycosylase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=ung PE=3 SV=1,Q9I5H9,240597.8978,310646.5639,195319.3666,414061.3568,259612.6053,319307.1037,294763.9448,284117.4479,289784.6805
sp|Q9HTZ6|HSLO_PSEAE,Q9HTZ6,hslO,8,8,715.42,0.000472387,0.000348573,1.806969199,0.99941462,0.553412864,-0.9,LB,CL,33269,33 kDa chaperonin OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=hslO PE=3 SV=1,Q9HTZ6,1499231.905,1399362.476,1441841.361,1019063.835,1490966.07,2545173.091,2611522.654,2675236.845,2070931.748
tr|Q9I672|Q9I672_PSEAE,Q9I672,PA0446,15,14,1524.23,0.000472807,0.000348573,1.883102821,0.999413093,0.531038448,-0.9,LB,CL,43991,Uncharacterized protein OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=PA0446 PE=4 SV=1,Q9I672,7449597.457,8744498.379,10658317.31,6573579.698,7706081.787,15293265.23,14985867.77,17907538.46,13778069.17
sp|P21175|BRAC_PSEAE,P21175,braC,22,22,3039.16,4.06132E-07,4.27043E-06,3.18,1,0.31,-1.7,LB,CL,39858,"Leucine-, isoleucine-, valine-, threonine-, and alanine-binding protein OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=braC PE=1 SV=2",P21175,44712764.16,37186895.63,37958156,35902874.02,37249760.58,128223221.6,129880689.2,129033951.2,104141911.5
tr|Q9I508|Q9I508_PSEAE,Q9I508,PA0950,4,3,495.87,7.53863E-07,5.37939E-06,3.21,1,0.31,-1.7,LB,CL,12839,Arsenate reductase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=PA0950 PE=3 SV=1,Q9I508,1263369.679,953037.6755,1224048.299,1126306.899,1134247.498,3844399.423,3796390.981,3853366.475,3132084.917
sp|Q9HT19|ATPG_PSEAE,Q9HT19,atpG,11,11,1202.76,0.000476897,0.000349874,1.267373574,0.999398083,0.789033336,-0.3,LB,CL,31704,ATP synthase gamma chain OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=atpG PE=3 SV=1,Q9HT19,14042437.54,12887751.83,11777675.22,12499083.57,12798750.26,16035092.96,16813090.23,16861984.62,15185136.83
tr|Q9I687|Q9I687_PSEAE,Q9I687,metF,12,12,1408.4,0.00047971,0.000350975,1.391237843,0.99938764,0.718784358,-0.5,LB,CL,32436,Methylenetetrahydrofolate reductase OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=metF PE=3 SV=1,Q9I687,7470393.956,7098692.171,6569739.104,6984486.749,6709697.78,10358562.8,9994590.108,10181292.34,8234355.826
tr|Q9HZ15|Q9HZ15_PSEAE,Q9HZ15,PA3225,6,6,256.51,0.000489219,0.000356877,1.284152426,0.999351617,1.284152426,0.4,CL,LB,34134,Probable transcriptional regulator OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=PA3225 PE=4 SV=1,Q9HZ15,2581611.976,2883823.232,2448136.812,2621407.249,2673363.989,1872580.961,2081616.298,2147088.532,2127234.743
sp|Q9I1M1|ODBB_PSEAE,Q9I1M1,bkdA2,9,9,730.95,0.000490397,0.000356877,1.633311678,0.999347076,0.612253015,-0.7,LB,CL,38699,2-oxoisovalerate dehydrogenase subunit beta OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=bkdA2 PE=3 SV=1,Q9I1M1,9753127.977,8645780.733,8994927.801,6673367.045,9007100.166,13604849.03,13013038.48,14001532.11,15663591.03
tr|Q9HZS7|Q9HZS7_PSEAE,Q9HZS7,PA2920,10,7,1196.94,2.44795E-06,1.13865E-05,3.26,1,0.31,-1.7,LB,CL,58399,Probable chemotaxis transducer OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) GN=PA2920 PE=4 SV=1,Q9HZS7,536229.6528,476866.7491,356749.6102,401654.5079,391376.9074,1371451.385,1343748.508,1412148.453,1510085.019
